nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Sancergues,Rue de la Chicane - 18140 SANCERGUES,18240,"[47.1572062,2.9115779]",1,11/27/2017,7/13/2022
Sancergues,Rue de la Chicane - 18140 SANCERGUES,18240,"[47.1572062,2.9115779]",1,11/27/2017,7/13/2022
Sancerre,Parking les remparts - 18300 SANCERRE,18241,"[47.331518,2.8365479]",1,9/14/2018,7/13/2022
Sancerre,Parking les remparts - 18300 SANCERRE,18241,"[47.331518,2.8365479]",1,9/14/2018,7/13/2022
Sancoins,Place du Champ de Foire - 18600 SANCOINS,18242,"[46.8295479,2.9214142]",1,5/16/2017,7/13/2022
Sancoins,Place du Champ de Foire - 18600 SANCOINS,18242,"[46.8295479,2.9214142]",1,5/16/2017,7/13/2022
Trouy,Rue du 19 mars 1962 - 18570 TROUY,18267,"[47.0101595,2.3580642]",1,3/17/2017,7/13/2022
Trouy,Rue du 19 mars 1962 - 18570 TROUY,18267,"[47.0101595,2.3580642]",1,3/17/2017,7/13/2022
Vailly sur Sauldre,Route de Chevaise - 18260 VAILLY SUR SAULDRE,18269,"[47.4583069,2.6508327]",1,1/17/2018,7/13/2022
Vailly sur Sauldre,Route de Chevaise - 18260 VAILLY SUR SAULDRE,18269,"[47.4583069,2.6508327]",1,1/17/2018,7/13/2022
Vallenay,Place Bascoulard - 18190 VALLENAY,18270,"[46.8011587,2.3707813]",1,7/18/2016,7/13/2022
Vallenay,Place Bascoulard - 18190 VALLENAY,18270,"[46.8011587,2.3707813]",1,7/18/2016,7/13/2022
Veaugues,Place de l Eglise - 18300 VEAUGUES,18272,"[47.2576027,2.7572507]",1,05/02/2017,7/13/2022
Veaugues,Place de l Eglise - 18300 VEAUGUES,18272,"[47.2576027,2.7572507]",1,05/02/2017,7/13/2022
Vesdun,Route de St Vitte - 18360 VESDUN,18278,"[46.5387678,2.4326471]",1,2/21/2018,7/13/2022
Vesdun,Route de St Vitte - 18360 VESDUN,18278,"[46.5387678,2.4326471]",1,2/21/2018,7/13/2022
