year,commune,nbre_pdc,total_bornes
2022,florange,1.0,1.0
2022,foix,1.0,1.0
2022,fontenay-le-comte,1.0,1.0
2022,fontenay-sous-bois,1.0,1.0
2022,fouquières-lès-béthune,1.0,1.0
2022,fresnes-en-tardenois,1.0,1.0
2022,froidmont-cohartille,1.0,1.0
2022,fréjus,1.0,1.0
2022,fécamp,1.0,1.0
2022,gaillac-d'aveyron,1.0,1.0
2022,gap,1.0,1.0
2022,gardanne,1.0,1.0
2022,garges-lès-gonesse,1.0,1.0
2022,gauchy,1.0,1.0
2022,gien,1.0,1.0
2022,givors,1.0,1.0
2022,granville,1.0,1.0
2022,grenoble,1.0,1.0
2022,griesheim-près-molsheim,1.0,1.0
2022,guise,1.0,1.0
2022,guéret,1.0,1.0
2022,haguenau,1.0,1.0
2022,hirson,1.0,1.0
2022,hénin-beaumont,1.0,1.0
2022,hérouville-saint-clair,1.0,1.0
2022,iguerande,1.0,1.0
2022,illkirch-graffenstaden,1.0,1.0
2022,illzach,1.0,2.0
2022,istres,1.0,1.0
2022,jarny,1.0,1.0
2022,joigny-sur-meuse,1.0,1.0
2022,la ferté-bernard,1.0,1.0
2022,la roche-sur-yon,1.0,1.0
2022,la rochelle,1.0,1.0
2022,la seyne-sur-mer,1.0,1.0
2022,la teste-de-buch,1.0,2.0
2022,la tour-du-pin,1.0,1.0
2022,la valette-du-var,1.0,1.0
2022,lamballe,1.0,1.0
2022,langon,1.0,1.0
2022,lannemezan,1.0,1.0
2022,lannion,1.0,1.0
2022,laxou,1.0,2.0
2022,le bouscat,1.0,1.0
2022,le fresne-camilly,1.0,1.0
2022,le havre,1.0,2.0
2022,le perreux-sur-marne,1.0,1.0
2022,le troncq,1.0,1.0
2022,les cluses,1.0,1.0
2022,les herbiers,1.0,1.0
2022,les pavillons-sous-bois,1.0,2.0
2022,les églises-d'argenteuil,1.0,1.0
2022,libourne,1.0,1.0
2022,limas,1.0,1.0
2022,limoges-fourches,1.0,1.0
2022,lisieux,1.0,1.0
2022,liévin,1.0,1.0
2022,loches-sur-ource,1.0,1.0
2022,loigné-sur-mayenne,1.0,1.0
2022,loison-sous-lens,1.0,1.0
2022,longuenesse,1.0,1.0
2022,lons-le-saunier,1.0,1.0
2022,lormont,1.0,1.0
2022,loudéac,1.0,1.0
2022,louviers,1.0,1.0
2022,lunéville,1.0,1.0
2022,lézignan-corbières,1.0,1.0
2022,maconge,1.0,1.0
2022,maintenon,1.0,1.0
2022,maisons-alfort,1.0,1.0
2022,malauzat,1.0,1.0
2022,manosque,1.0,1.0
2022,mantes-la-ville,1.0,1.0
2022,marigny-marmande,1.0,1.0
2022,marly-gomont,1.0,1.0
2022,marseillette,1.0,1.0
2022,mas-saintes-puelles,1.0,1.0
2022,massignieu-de-rives,1.0,1.0
2022,melun,1.0,1.0
2022,millau,1.0,1.0
2022,mirande,1.0,1.0
2022,monaco,1.0,1.0
2022,mont-de-marsan,1.0,1.0
2022,mont-lès-neufchâteau,1.0,1.0
2022,montauban-sur-l'ouvèze,1.0,1.0
2022,montbrison-sur-lez,1.0,1.0
2022,montceau-les-mines,1.0,1.0
2022,montceaux-lès-provins,1.0,1.0
2022,monthiers,1.0,1.0
2022,montlhéry,1.0,1.0
2022,montluçon,1.0,1.0
2022,montpellier-de-médillan,1.0,1.0
2022,montreuil-aux-lions,1.0,1.0
2022,montrevel-en-bresse,1.0,1.0
2022,montrouge,1.0,2.0
2022,montélimar,1.0,1.0
2022,morigny-champigny,1.0,1.0
2022,morlaix,1.0,1.0
2022,muret-et-crouttes,1.0,1.0
